Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Afghanistan,AFG,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,,,,,,,,,,2.5,2,2,2,2,2,2,2
Afghanistan,AFG,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,,,,,,,,,,3,2.5,2.5,3,3,3,3,3
Afghanistan,AFG,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,,,,,,,,,,2.5,2.33333333333333,2.5,2.66666666666667,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,,,,,,,,,,2,2,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,,,,,,,,,,2,2,2,2,2,2.5,2.5,2.5
Afghanistan,AFG,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,,,,,,,,,,3,3,3,3.5,3.5,3.5,3.5,3.5
Afghanistan,AFG,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,2.3,2.2,2.2,2.4,2.4,2.5,2.5,2.5
Afghanistan,AFG,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,,,,,,,,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Afghanistan,AFG,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,,,,,,,,,,2,2,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,,,,,,,,,,2.3,2.3,2.5,2.6,2.6,2.7,2.7,2.6
Afghanistan,AFG,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,,,,,,,,,,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Afghanistan,AFG,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,,,,,,,,,,2,2,2,2,2,2,2,1.5
Afghanistan,AFG,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,,,,,,,,,,3,3,3,3,3,3,3,3
Afghanistan,AFG,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,,,,,,,,,,2,2,2.5,2.5,2,2,2,2
Afghanistan,AFG,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,,,,,,,,,,2.5,2.5,2.5,3,3,3,3,3
Afghanistan,AFG,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,,,,,,,,,,2.5,2.5,2.5,3,3,3,3,3
Afghanistan,AFG,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,,,,,,,,,,3.33333333333333,3.16666666666667,3.2,3.33333333333333,3,3,3,3
Afghanistan,AFG,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,,,,,,,,,,3,3,3,3.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,,,,,,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,,,,,,,,,,3,3,3,3,3,3.5,3.5,3.5
Afghanistan,AFG,Poverty gap at $2 a day (PPP) (%),SI.POV.GAP2,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Poverty gap at $1.25 a day (PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Poverty headcount ratio at $2 a day (PPP) (% of population),SI.POV.2DAY,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,1.05555580601371,11.1752702171385,5.55413764253301,13.7402049675717,3.61136840986602,21.0206487192376,8.43329048304375,6.11368518168933,14.4347412711931,4.23377305165462
Afghanistan,AFG,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,,,,,,,,234.99662511261,252.407892476849,258.418692237452,285.917091331432,288.758199717933,340.931426686279,360.705615126257,373.451677075743,417.055042298355,424.365939690508
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,8462.35978407995,9089.3492511091,9305.80150926349,10296.0342264694,10398.3441270504,12277.1311840604,12989.2107594036,13448.2035725772,15018.3851193699,15281.654619718
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,10516.6733746196,12527.1502674714,13745.2176267333,18611.6730777501,19206.2116664965,22198.6054853586,25702.7086471393,29421.3712121199,35585.2007016273,37573.6895236808
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,220.056287808743,252.407892476849,275.350940904774,373.591416218515,376.977669868854,450.659239044994,561.197617484795,613.979191599462,687.581367715205,678.34788813289
