Country Name,Country Code,Series Name,Series Code,1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,8353.46037254467,8700.91867346394,8462.35978407995,9089.3492511091,9305.80150926349,10296.0342264694,10398.3441270504,12277.1311840604,12989.2107594036,13448.2035725772,15018.3851193699,15281.654619718
Afghanistan,AFG,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,231.972528425574,241.621317908266,234.99662511261,252.407892476849,258.418692237452,285.917091331432,288.758199717933,340.931426686279,360.705615126257,373.451677075743,417.055042298355,424.365939690508
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,8.44416323089565,1.05555580601371,11.1752702171385,5.55413764253301,13.7402049675717,3.61136840986602,21.0206487192376,8.43329048304375,6.11368518168933,14.4347412711931,4.23377305165462
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,4.15945351295686,-2.74176668391975,7.40915634677567,2.38138344313231,10.6410255604547,0.993682599830237,18.0681369461751,5.80004859985328,3.53364666780276,11.6757716993111,1.75298141747989
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,115.312509504906,185.959290128351,198.287799138095,220.056287808743,252.407892476849,275.350940904774,373.591416218515,376.977669868854,450.659239044994,561.197617484795,613.979191599462,687.581367715205,678.34788813289
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,6276.38974390876,8353.48269566829,9720.31577349836,10516.6733746196,12527.1502674714,13745.2176267333,18611.6730777501,19206.2116664965,22198.6054853586,25702.7086471393,29421.3712121199,35585.2007016273,37573.6895236808
Afghanistan,AFG,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3.5,3.5,3.5
Afghanistan,AFG,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,,,,,,,,,,,,,,,,,,,,,,,3.33333333333333,3.16666666666667,3.2,3.33333333333333,3,3,3,3
Afghanistan,AFG,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,3,3,3,3,3
Afghanistan,AFG,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,3,3,3,3,3
Afghanistan,AFG,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,,,,,,,,,,,,,,,,,,,,,,,2,2,2.5,2.5,2,2,2,2
Afghanistan,AFG,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3
Afghanistan,AFG,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1.5
